generation,best_fitness,worst_fitness,mean_fitness,median_fitness,std_fitness,num_modules
1,0.46556096499437,0.13969388294455398,0.28182366401106496,0.2569682514970388,0.10928972015088709,9
2,0.5201966042409901,0.15790510877934627,0.3110029351779857,0.3056731480582981,0.10753916101126608,12
3,0.5616399022966634,0.2129163315109358,0.348707696492529,0.3339179453127598,0.09599907267239255,12
4,0.6561956790539846,0.2312011532498018,0.3785779858845826,0.38252048334002176,0.10598164530816553,14
5,0.7287214138120524,0.2569682514970388,0.40607216538230084,0.3948187315271213,0.11275983919813427,16
6,0.7287214138120524,0.2872666805022523,0.4299949745464197,0.4089731507468274,0.11220327241122867,16
7,0.7287214138120524,0.3056731480582981,0.4513296153992887,0.4195085280458434,0.11117354075275687,16
8,0.7287214138120524,0.3339179453127598,0.4642320432258884,0.41980015264837267,0.10340016297491363,16
9,0.7287214138120524,0.3789461462687253,0.4961113340079144,0.46556096499437,0.09368706852829771,16
10,0.7287214138120524,0.4055864218870481,0.5287108667983372,0.501528561185564,0.09728486286248648,16
11,1.1450364667862558,0.42231200335559327,0.5966702567518318,0.5417743363959442,0.15047245838251005,14
12,1.1450364667862558,0.4627471873079056,0.6050044996200209,0.5594621130655181,0.14358084618980768,14
13,1.1450364667862558,0.47705129232926397,0.6202724669319875,0.567155362662883,0.13753318966587208,14
14,1.1450364667862558,0.49919855869038676,0.6379327024808447,0.5886630124131302,0.14193421956464952,14
15,1.1450364667862558,0.5046180970836349,0.6431902704318395,0.5886630124131302,0.13780446413196956,14
16,1.1450364667862558,0.5201966042409901,0.648944674043566,0.5967203830185234,0.13408030260743703,14
17,1.1450364667862558,0.5251091906806579,0.655342300878314,0.6293740589524778,0.13235226699646618,14
18,1.1450364667862558,0.5319868258514177,0.6638364280276581,0.6319692638141707,0.1282975377425428,14
19,1.1450364667862558,0.5417743363959442,0.6754944752398812,0.6561956790539846,0.12452125006684366,14
20,1.1450364667862558,0.5616399022966634,0.6846021509448955,0.658477750834679,0.11870921533436432,14
21,1.1450364667862558,0.567155362662883,0.6849149842070933,0.658477750834679,0.11839671666648982,14
22,1.1450364667862558,0.5774419383986494,0.6969019444522268,0.6666263928820831,0.11286725796248687,14
23,1.1450364667862558,0.5774419383986494,0.6969019444522268,0.6666263928820831,0.11286725796248687,14
24,1.1450364667862558,0.5882667351448072,0.7126809146993848,0.6729427422524056,0.1165033153200833,14
25,1.1450364667862558,0.5967203830185234,0.7303359667573995,0.684714793818458,0.12756218930813257,14
26,1.1450364667862558,0.6293740589524778,0.7400302463722752,0.6960957870844575,0.12331503402607859,14
27,1.1450364667862558,0.6319692638141707,0.7415544809955014,0.6960957870844575,0.12221555169857318,14
28,1.1450364667862558,0.6342845288073465,0.7416316564952738,0.6960957870844575,0.12214703932087138,14
29,1.3826421692052837,0.6427309777195046,0.7677495302823806,0.6965587940468834,0.1653680995885666,14
30,1.3826421692052837,0.6512500078293636,0.7687189479702643,0.6965587940468834,0.1647163359176976,14
31,1.3826421692052837,0.658477750834679,0.7777882203484336,0.7055016748265552,0.1618805048649454,14
32,1.3826421692052837,0.6624124655271328,0.7837569589707075,0.7121254092834249,0.16053101803460348,14
33,1.3826421692052837,0.6666263928820831,0.7968237716403047,0.7456704183012757,0.15898590771838728,14
34,1.3826421692052837,0.6718135083560179,0.8028960068638071,0.759317050663501,0.15573867896594143,14
35,1.3826421692052837,0.6724423064399665,0.8050559365225707,0.759317050663501,0.15434886381605262,14
