generation,best_fitness,best_fitness_flat,best_fitness_uneven,best_fitness_crater,worst_fitness,worst_fitness_flat,worst_fitness_uneven,worst_fitness_crater,mean_fitness,mean_fitness_flat,mean_fitness_uneven,mean_fitness_crater,median_fitness,median_fitness_flat,median_fitness_uneven,median_fitness_crater,std_fitness,num_modules,time_per_generation,total_elapsed_time
0,1.3642099779708767,0.5071344621695519,0.722208620506607,0.4366881603254586,0.20640463792007074,0.02929610492280594,0.04689356489631223,0.03884072716687858,0.6486804174035056,0.2500350159946322,0.23375279732165394,0.16489260408721954,0.5574449896095035,0.16244641366016216,0.1782948564494217,0.1252086399664278,0.3457794981715147,5,7883.574756622314,7883.574756622314
1,1.3642099779708767,0.5071344621695519,0.722208620506607,0.4366881603254586,0.3666502846611741,0.03565931845814137,0.07199972681311186,0.05296958606232578,0.7633541862066178,0.2868267529525312,0.27333890151858253,0.20318853173550416,0.7678316933833325,0.2928457531604164,0.22580544691748247,0.17704053802765018,0.2930194810999494,5,2985.9812581539154,10869.55601477623
2,3.648655342247621,0.9139572199062079,1.2300128373344923,1.504685285006921,0.44501256379906473,0.009104501605555034,0.07199972681311186,0.05296958606232578,0.9677862282343075,0.34092379308118015,0.32573521934720995,0.30112721580591734,0.7872202552223772,0.34027687963516356,0.2604463094725225,0.22348640629719965,0.6590313275501539,5,2994.9784519672394,13864.53446674347
3,3.648655342247621,0.9139572199062079,1.2300128373344923,1.504685285006921,0.5574449896095035,0.009104501605555034,0.12302844072304775,0.05296958606232578,1.0220620902018116,0.3293959666183318,0.3660540125488324,0.3266121110346472,0.8389301840053882,0.33886428479339886,0.31775163208868346,0.23876089312036816,0.640277884076281,5,3124.3265132904053,16988.860980033875
4,3.648655342247621,0.9139572199062079,1.2300128373344923,1.504685285006921,0.6344094432902627,0.06020117313012431,0.12302844072304775,0.023699765357233147,1.0751269985528682,0.36143831861267356,0.38010495690034396,0.33358372303985084,0.9210164381744419,0.34027687963516356,0.2718540389162698,0.29951645339169314,0.6274226740687994,5,3019.428503036499,20008.289483070374
5,3.648655342247621,0.9139572199062079,1.2300128373344923,1.504685285006921,0.6911988818520207,0.06020117313012431,0.12302844072304775,0.023699765357233147,1.088966748523863,0.3742760650635472,0.3899139726112095,0.3247767108491063,0.9210164381744419,0.34027687963516356,0.31775163208868346,0.29584316525097937,0.6205639413438805,5,2720.333020925522,22728.622503995895
6,3.648655342247621,1.3769067954171377,1.2300128373344923,1.504685285006921,0.7154293764348768,0.06020117313012431,0.13189067380168007,0.023699765357233147,1.1855102345524524,0.426107560852646,0.3971804244992371,0.3622222492005696,0.942812194445117,0.3732206536482887,0.31775163208868346,0.29951645339169314,0.6966979700956778,5,3156.3851675987244,25885.00767159462
7,3.648655342247621,1.3769067954171377,1.2300128373344923,1.504685285006921,0.729359497155365,0.06020117313012431,0.13189067380168007,0.023699765357233147,1.2298899524096887,0.44775548679531213,0.4069556713141843,0.37517879430019224,1.0138469052053436,0.3813225932349654,0.3744751706667339,0.30885723966281653,0.6936033287214075,5,2901.74133849144,28786.74901008606
8,3.648655342247621,1.3769067954171377,1.2300128373344923,1.504685285006921,0.7401036567181487,0.06020117313012431,0.13189067380168007,0.023699765357233147,1.2440685536433285,0.45446960826615657,0.41320667765439223,0.37639226772277956,1.0138469052053436,0.3813225932349654,0.3744751706667339,0.3104520768604368,0.6860842193773585,5,2762.1005325317383,31548.849542617798
9,3.648655342247621,1.3769067954171377,1.2300128373344923,1.504685285006921,0.7678316933833325,0.0990589757526091,0.13189067380168007,0.05296958606232578,1.2606067737160915,0.4864997269120382,0.39333290593592923,0.380774140868124,1.053931072656307,0.4280384666381518,0.31775163208868346,0.3104520768604368,0.677671700066024,5,3041.5619852542877,34590.411527872086
10,3.648655342247621,1.3769067954171377,1.2300128373344923,1.504685285006921,0.8389301840053882,0.0990589757526091,0.1429578579269346,0.05296958606232578,1.2971765456324618,0.48903207711909663,0.4064260789163413,0.4017183895970238,1.0708680581734094,0.4280384666381518,0.3744751706667339,0.3391995554715643,0.6592889195121112,5,2963.564703941345,37553.97623181343
11,6.260378523212664,2.6349837348974283,1.7945486865362175,1.8308461017790179,0.9112044427101593,0.0990589757526091,0.1989356825009519,0.05296958606232578,1.5707534907827785,0.6093294453588131,0.4859511380945089,0.4754729073294568,1.073962455924641,0.45084971895620185,0.3749091519165286,0.3488127846303041,1.256554294198245,9,3002.53950881958,40556.51574063301
